info: ::ffff:127.0.0.1 - - [10/Aug/2022:02:49:32 +0000] "GET /api/v1/books/6214803b05253301a4fda584 HTTP/1.1" 200 1339 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [10/Aug/2022:06:28:47 +0000] "GET /api/v1/cart/6214803b05253301a4fda584 HTTP/1.1" 400 91 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [10/Aug/2022:06:31:07 +0000] "POST /api/v1/users/login HTTP/1.1" 200 295 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [10/Aug/2022:06:31:58 +0000] "GET /api/v1/books HTTP/1.1" 200 9282 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [10/Aug/2022:06:32:23 +0000] "GET /api/v1/cart/6214803b05253301a4fda584 HTTP/1.1" 400 91 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [10/Aug/2022:06:32:48 +0000] "GET /api/v1/cart/6214803b05253301a4fda584 HTTP/1.1" 400 91 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [10/Aug/2022:06:34:50 +0000] "GET /api/v1/cart/6214803b05253301a4fda584 HTTP/1.1" 400 91 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [10/Aug/2022:06:55:35 +0000] "GET /api/v1/cart/6214803b05253301a4fda584 HTTP/1.1" 400 91 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [10/Aug/2022:06:57:35 +0000] "GET /api/v1/cart/6214803b05253301a4fda584 HTTP/1.1" 400 91 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [10/Aug/2022:06:57:48 +0000] "GET /api/v1/books HTTP/1.1" 200 9282 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [10/Aug/2022:06:58:07 +0000] "GET /api/v1/books/6215178d05253301a4fda5c4 HTTP/1.1" 200 391 "-" "PostmanRuntime/7.29.2"

